19527363: 爷童回[大哭]
1359776: 叶和安娜16岁就生娃了，我很好奇，谁先动手的[doge]
862706: 爷青回
14741224: 只玩过gba的通灵王，游戏玩着挺有意思的
1745327: [笑哭]我不求别的，就只把第一部做完就好，做·完，做到原作作者本来设定的那个结局——

[捂脸]其实我很好奇，通灵王怎么每部都被腰斩了......
111577839: 那个沙漠里找一颗米的情节至今都忘不了
57093788: 好！嗷嗷嗷你回来了！
23218460: 青春啊…
59525742: TV动画通灵王将于2021年4月开播[tv_点赞]
【CAST】
麻仓叶：日笠阳子
阿弥陀丸：小西克幸
恐山安娜：林原惠美
叶王：高山南
【STAFF】【初音未来_期待】
原作：武井宏之
监督：古田丈司
系列构成：米村正二
角色设计：佐野聪彦
音乐：林友树
音响监督：三间雅文
音乐制作：KingRecords
动画制作：Bridge
178577081: 阿弥陀丸in春雨，超灵体！
18248541: [doge]我要看熊猫，我知道里面有
2716634: 终于来了 吹爆!
15649374: 通灵王的设定，我觉得fate参考过
797438: 求求别阑尾了！！！
195477532: 爷青回
833234: 我惊呆了…这这这这这也太爷青回了吧？当年我好迷安娜和道莲来着！
1631524: 啊？？？我是在做梦吗？？？
909153: 只要你活得久，一定会有奇迹系列。
154397: 这是真的童年
17813081: 家教第二季安排一下呗[吃瓜]
1971158: 👀青春真的回来了
6545070: 我的天？！天！！！
26461153: 啊啊啊啊啊，叶王
12253426: 爷青回
4382224: 日笠阳子跟男性配音还是很帅的
9344715: 卧槽。卧槽？
14465254: 卧槽卧槽？？？爷回青！！[大哭][大哭][大哭]
7587325: 牛批，童年
97009624: 想看叶！叶王！叶是动画圈粉，叶王漫画爱上的！这俩超棒！以及小破站你懂的[滑稽]
97009624: 爷青回！
414408183: 咋听这配音跟以前不一样了啊
244441: 爷青回[打call]
2057721: 爷青回
2886862: 通灵王最后结局是不是主角融合了大家的力量然后把反派打败了的故事
41914764: 麻仓叶的性格最喜欢了。
29381159: 这都完结了咋还能新作？
403978847: 叶王不是呗劈城俩半啦
787240: 我的妈我的童年[微笑]
341143280: 爷青回
14737324: 我去……最近炒冷饭是真的上瘾了啊？？！小学天天看点播台，凑完了第一部，第二部买的碟子╮(╯▽╰)╭漫画也补完了……
这次是重制动画版呀？还是按漫画来一次呀？？！[惊讶]
27988012: 阿弥陀丸in春雨in布都御魂之剑，不行了，这次真是👴青回了，小时候一起和同学用大脑袋电视➕DVD看的，哭了
317860: 爷青回！
38130823: 安娜！！
9129248: 这可真是爷青回
17773604: 不多说，吹爆[热词系列_吹爆][热词系列_吹爆]
1830007: 妈咪！！！！！！爷青回了！！！！！！！！！！！！
387088614: 船到桥头自然直
35183395: 重制版吗？还是续作。。。[怪我咯]
25061190: 浮士德会是子安吗？
73831610: 阿弥陀丸
89749280: 当年在陕西4把通灵王看完了，随后在网上找的资源不是模糊就是剌耳[doge]
3832017: ？？？？！！！！
6789418: 究竟是青回，还是业内已经拿不出像样的原创，开始回头重置吃老本了，以后你还能看到北斗神拳，猫眼三姐妹重置
544527: 这已经不是青春系列了根本是追梦系列啊我看通灵王的时候还是小学生
4256188: 爷青回
107962373: 林原女王！[喜欢]
401233206: 叶王[鼓掌][鼓掌][鼓掌]
5893845: 泪流满面！！！安娜大人，叶大人，等不及再次和你们相遇了。希望能看到宗股！
16733756: 儿时光盘回忆
25204264: 我当时看通灵王的时候注意力全在安娜身上  10多岁就有未婚妻一起生活 还那么好看优秀 还能培养自己  真羡慕
259918203: 现在在哪里有旧版看啊，想重温
22995819: ！！！我！要！看！四月要是看不见我鲨了你！
506585: 希望不要和封神演义仙界篇一样 删那么多
350814: ？？？？？？？
299310198: 还能见到安娜的梦幻左手，那才是真正的爷青回
181072537: 啊啊啊國小的回憶瞬間湧上心頭了[大哭] 那時候超喜歡葉王的！
2770307: 2020原来什么神奇的事情都会发生[支持]
18693731: 啊啊啊  小学最喜欢看的
108838896: 叶神
37793841: 可惜烂尾
2639523: 入宅作阿，爷的青春回来了
2639523: 入宅作 哭了
51583451: 这还是我看的第一部日漫呢，那时候好像才小学二年级？
43958215: 阿弥陀丸in春雨[偷笑]通灵合体
48620403: 日笠阳子？米撒噶哇米撒噶哇？
397780: 小学的时候看的。后来看漫画才知道动画后面全魔改了。这是按漫画剧情来的重制版吧。
2874208: 入宅作！！！！
12219473: 看的时候是小学，中间反反复复看了不下五遍动漫漫画，现在已经大四了要准备国考了，小破站你买了我大会员起码还能续十年
26468668: 小破站求求你买下来，我愿意给你充一辈子的会员
27329679: 6年级看的 现在大学毕业了都
92122675: 我是通灵人，连接阴阳两界的通灵人！
6210087: 叶王  我的男人
6210087: 真的最最喜欢叶王   动画那个时候买碟看的  不太记得结局  叶王好像被打败了  我可太恨了
40396874: 哇...希望结局改好一点...
6207284: 千万别换两个主题曲。千万不要[大哭][大哭][大哭][大哭]
671835: 买买买！买了大会员还能再续一年[tv_doge]
15785007: 葉青回
14624999: 不知道还有多少人记得驭龙少年
260732378: 漫画剧情？
46677976: 真的假的…我还是8岁 ~十多年了
8677703: 太感动了
10150134: 爷青回
10017661: 啊啊啊啊啊啊啊啊啊我青回！！！
9599027: 爷青回！！！啊啊啊啊啊啊啊啊啊啊啊童年啊！我的妈！太激动了！B站万岁！！！
4515952: 爷青回[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭]
66347921: 以前小时候天天在电视机追通灵王，爱了爱了
456308956: 通灵王？ ？ ？叶王！我的童年！
8097214: 九天应雷普华原始天尊
72842460: 爷青回
22323332: 童回
12697278: 卧槽卧槽？！
140277673: 我好开心啊啊啊啊啊啊！
3328805: 明年太爽了！通灵王犬夜叉死神都出新片了
770987: 我入宅的契机啊（然而还在纠结莲和贞德怎么在一起）
21409370: 我看通灵王的时候看的是光盘版的[喜极而泣]
