397006612: 来整点锅包又啊老弟！！！
157642188: 哈哈哈哈哈哈
20579034: 啊哈哈哈哈哈哈哈哈
3659004: 有这皇后还怕江山不稳吗？就是皇帝有点受？[大笑]
413277513: 啊哈哈关注了
521790608: 史上最惨的皇上[doge][doge][喜极而泣][喜极而泣]
25192077: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
395356526: 催更[呲牙]
14907673: (ಡωಡ)hiahiahia[热词系列_爱了爱了][热词系列_三连]
344177230: 熟悉的东北音。[支持]
142582405: [热词系列_三连][热词系列_三连][热词系列_三连]
19910703: 不错诶感觉好有意思，爱了
19022526: 好看
3286105: 一级号 欺负它[打call]
想看天津贵妃 太后也行[热词系列_爱了爱了]
286158609: 好好看
18668386: 真好看！九月神番预定！[2233娘_第一]
85369176: 以后我就是老粉了啊！快更[tv_思考]
22825257: 公公的声线最逼真[歪嘴][支持]
516981614: 东北人有的真这样[妙啊]（好像在照镜啊）
286401301: 趁还没大火前留名
39705098: 催更[热词系列_妙啊]
56309516: 方便以后考古
23714642: 这个皇后真可爱[打call]
22568443: 差点笑死在手机跟前儿
22298821: 好看啊！多来点皇后和皇帝的互动呗[笑哭][笑哭][笑哭][笑哭]
501021848: ！！！
32967109: 好看耶，日更就好了[热词系列_害]
362888926: 哈哈哈哈好爱皇后，求多多的皇后日常
33820107: 现在关注以后我就是老粉了！
225957370: 这个皇后我爱了(=・ω・=)
10488676: 。。。？？？
8301306: 我爱这个皇后_(:_」∠)_红红火火恍恍惚惚
13551955: 这个皇后好可爱啊[大笑][大笑]
24923922: 这皇后我爱了，厚实的安全感[加油]。投币期待后续
431789157: 我特么直接笑死
397549781: 我也以后成老粉了
